Title,Fruit_added,Hidden_Fruits
Trialeti (town),,Guava
Trialeti town,Guava,
Triangle piercing,Strawberry,strawberry
Tuen Mun South extension,Mango,Mango
USS Mississippi (BB-41),,Avocado
USS Mississippi BB-41,Avocado,
Uyajola 9/9,,Apple
Uyajola 99,Apple,
Value investing,Pineapple,Pineapple
Vivid Live,Orange,
Wesselényi Monument,Apple,Apple
West Northamptonshire,Apple,Apple
What's the Good Word?,,"Apple,ANT,Cherry,Peach"
Whats the Good Word,Apple,
William Hohri,Strawberry,Strawberry
Wilmington High School (Ohio),,Strawberry
Wilmington High School Ohio,Strawberry,
Zoo TV Live from Sydney,Avocado,
Zoo TV: Live from Sydney,,"Melon,Avocado"
x86,Apple,
